طابع زمني,العمر:,الحالة الاجتماعية:,عدد الأطفال (إن وجد): ,مكان العمل:,ماهو العقار الذي تسكنه حاليًا؟,هل هو ملك أم ايجار؟, كم كانت المساحة المطلوبة (بالمتر المربع)؟,كم كان عدد الغرف المطلوبة؟,هل كانت مساحة العقار كبيرة أو صغيرة بالنسبة للأسرة؟,ماكان مدى أهمية اختيار منطقة حديثة؟,ما هي أهم المرافق القريبة التي كنت تبحث عنها؟ ,ما هي المنطقة التي كنت تفضل السكن بها ؟ ,هل كنت تفضل العيش في منطقة هادئة أم نشطة؟ ,أين مكان عملك؟(اذكر الحي),كم كانت المسافة المقبولة من العمل أو المرافق العامة؟ ,ماهو الحي الذي اشتريت/ استأجرت به؟,كم كان الحد الأقصى للميزانية؟,هل كنت تفضل الدفع نقداً أم عن طريق الأقساط؟ ,هل وجدت صعوبات مالية لاحقًا بعد عملية الشراء/ الاستئجار ؟,هل انت راضٍ عن عملية الشراء/ الاستئجار؟,ما سبب أنك راضٍ عن عملية الشراء/ الاستئجار في هذا الحي؟  ,ما سبب أنك لست راضٍ عن عملية الشراء/ الاستئجار في هذا الحي؟  
11/2/2024 2:23,أكثر من 55,متزوج,أكثر من 3,شرق,فيلا,ملك,أكثر من 200 متر مربع,أكثر من 3,زائدة عن الحاجة,غير مهم,"مدارس, مستشفيات",الشرق,هادئة,الربوة,أقل من 10 كم,حي النسيم,"أكثر من 1,500,000 ريال",نقدًا,نعم,نعم,"وجود خدمات جيدة, القرب من المرافق الترفيهية, قرب الحي من مقر العمل, يحتوي الحي على حدائق تلطف الجو",
11/3/2024 16:39,أقل من 25,أعزب,لايوجد,شرق,شقة,ايجار,من 100-150 متر مربع,غرفتان,مناسبة,مهم جدًا,"مدارس, مراكز تجارية, مستشفيات, حدائق, أندية رياضية",الشرق,هادئة,حي النرجس,أكثر من 30 كم,حي النرجس,"أقل من 500,000 ريال",نقدًا,نعم,نعم,"السعر مناسب, المساحة مناسبة, وجود خدمات جيدة, الحي حديث",
11/3/2024 18:05,أقل من 25,أعزب,لايوجد,شمال,شقة,ايجار,من 100-150 متر مربع,أكثر من 3,مناسبة,مهم جدًا,"مدارس, مستشفيات, حدائق, أندية رياضية",الوسط,نشطة,حي لبن,أقل من 20 كم,حي السويدي ,"أقل من 500,000 ريال",أقساط,نعم,لا,,"المساحة غير مناسبة, قلة الخدمات, الازدحام والضوضاء, تلوث الجو بالحي, لا يوجد مخارج للطرق الرئيسة"
11/3/2024 18:07,أقل من 25,متزوج,3 أطفال,شمال,فيلا,ملك,من 150-200 متر مربع,3 غرف,مناسبة,متوسط الأهمية,"مدارس, مراكز تجارية, مستشفيات",الشمال,هادئة,حي الجنادريه,أقل من 20 كم,الملقا,"من 500,000 - 1,000,000 ريال",أقساط,نعم,نعم,"السعر مناسب, المساحة مناسبة, وجود خدمات جيدة, القرب من المرافق الترفيهية, توفر بنية تحتية جيدة, الحي هادئ, يحتوي الحي على حدائق تلطف الجو",
11/3/2024 18:07,أقل من 25,أعزب,لايوجد,وسط,فيلا,ملك,أكثر من 200 متر مربع,أكثر من 3,مناسبة,مهم جدًا,"مدارس, مستشفيات, أندية رياضية",الشمال,نشطة,حي العليا,أكثر من 30 كم,الروضة,"من 500,000 - 1,000,000 ريال",نقدًا,نعم,نعم,"المساحة مناسبة, وجود خدمات جيدة, القرب من المرافق الترفيهية, الحي حديث, الحي نشط, قرب الحي من مقر العمل",
11/3/2024 18:09,أقل من 25,أعزب,لايوجد,شرق,فيلا,ملك,أكثر من 200 متر مربع,أكثر من 3,مناسبة,مهم جدًا,"مدارس, مراكز تجارية, أندية رياضية",الشمال,هادئة,القيروان,أكثر من 30 كم,النرجس,"أكثر من 1,500,000 ريال",نقدًا,لا,نعم,"السعر مناسب, المساحة مناسبة, وجود خدمات جيدة, الحي حديث, الحي هادئ, يحتوي الحي على حدائق تلطف الجو",
11/3/2024 18:12,من 25-35,متزوج,طفلان,شرق,شقة,ملك,من 150-200 متر مربع,غرفتان,مناسبة,متوسط الأهمية,"مدارس, مراكز تجارية, مستشفيات, حدائق, أندية رياضية",الشرق,نشطة,الدمام,أقل من 30 كم,العزيزية,"من 500,000 - 1,000,000 ريال",نقدًا,نعم,لا,,"ارتفاع الأسعار, بنية تحتية سيئة, الشراء عن طريق التقسيط تسبب بازمة مالية لي"
11/3/2024 18:15,أقل من 25,أعزب,لايوجد,غرب,شقة,ايجار,أقل من 100 متر مربع,أكثر من 3,مناسبة,متوسط الأهمية,"مدارس, حدائق",الجنوب,هادئة,الشفا,أقل من 30 كم,عليا,"أقل من 500,000 ريال",أقساط,لا,نعم,"السعر مناسب, المساحة مناسبة, القرب من المرافق الترفيهية, توفر بنية تحتية جيدة, الحي هادئ, يحتوي الحي على حدائق تلطف الجو",
11/3/2024 18:22,أقل من 25,أعزب,لايوجد,وسط,فيلا,ملك,أكثر من 200 متر مربع,أكثر من 3,مناسبة,مهم جدًا,"مدارس, مراكز تجارية, مستشفيات, حدائق, أندية رياضية",الشمال,نشطة,مدرسة حكوميه في حي الياسمين,أقل من 30 كم,حي الملقا,"أكثر من 1,500,000 ريال",نقدًا,لا,نعم,"السعر مناسب, المساحة مناسبة, وجود خدمات جيدة, القرب من المرافق الترفيهية, الحي هادئ, قرب الحي من مقر العمل, يحتوي الحي على حدائق تلطف الجو",
11/3/2024 18:28,أقل من 25,أعزب,لايوجد,شرق,فيلا,ملك,أكثر من 200 متر مربع,3 غرف,مناسبة,مهم جدًا,"مدارس, مستشفيات",الوسط,هادئة,النرجس ,أقل من 10 كم,النرجس ,"من 500,000 - 1,000,000 ريال",نقدًا,لا,نعم,"السعر مناسب, المساحة مناسبة, توفر بنية تحتية جيدة, الحي هادئ, قرب الحي من مقر العمل",
11/3/2024 18:49,أقل من 25,أعزب,لايوجد,وسط,شقة,ايجار,من 100-150 متر مربع,أكثر من 3,مناسبة,متوسط الأهمية,"مدارس, مراكز تجارية, حدائق",الشمال,هادئة,حي الشفا,أقل من 10 كم,حي الشفا,"أقل من 500,000 ريال",أقساط,نعم,لا,,"ارتفاع الأسعار, المساحة غير مناسبة"
11/3/2024 18:51,أقل من 25,أعزب,لايوجد,جنوب,شقة,ايجار,من 100-150 متر مربع,3 غرف,صغير جدًا,مهم جدًا,"مدارس, مراكز تجارية, مستشفيات, حدائق",الجنوب,نشطة,طالب,أقل من 10 كم,العزيزية  ,"أقل من 500,000 ريال",أقساط,نعم,لا,,"ارتفاع الأسعار, المساحة غير مناسبة, المرافق الترفيهية غير كافية"
11/3/2024 19:07,أقل من 25,أعزب,لايوجد,شمال,فيلا,ملك,أكثر من 200 متر مربع,أكثر من 3,مناسبة,مهم جدًا,"مدارس, مراكز تجارية, مستشفيات, حدائق, أندية رياضية",الشمال,نشطة,النرجس,أكثر من 30 كم,النرجس,"أكثر من 1,500,000 ريال",نقدًا,لا,نعم,"القرب من المرافق الترفيهية, الحي حديث, قرب الحي من مقر العمل",
11/3/2024 19:32,أقل من 25,أعزب,لايوجد,شمال,فيلا,ملك,أكثر من 200 متر مربع,أكثر من 3,مناسبة,مهم جدًا,مدارس,الشمال,هادئة,في حي النخيل ,أقل من 30 كم,حي الملقا,"من 1,000,000 - 1,500,000 ريال",نقدًا,لا,نعم,السعر مناسب,
11/3/2024 19:34,أقل من 25,أعزب,لايوجد,غرب,فيلا,ملك,أكثر من 200 متر مربع,أكثر من 3,مناسبة,مهم جدًا,"مدارس, مراكز تجارية, مستشفيات, حدائق, أندية رياضية",الوسط,هادئة,العليا ,أقل من 10 كم,حي النسيم,"أقل من 500,000 ريال",أقساط,نعم,نعم,"المساحة مناسبة, وجود خدمات جيدة, القرب من المرافق الترفيهية, الحي حديث, توفر بنية تحتية جيدة, الحي هادئ, قرب الحي من مقر العمل, يحتوي الحي على حدائق تلطف الجو",
11/3/2024 19:36,أقل من 25,أعزب,لايوجد,شمال,فيلا,ملك,من 100-150 متر مربع,أكثر من 3,مناسبة,مهم جدًا,"مدارس, مراكز تجارية, أندية رياضية",الشرق,هادئة,الملقا,أقل من 10 كم,الملقا,"من 1,000,000 - 1,500,000 ريال",نقدًا,لا,نعم,"السعر مناسب, المساحة مناسبة, وجود خدمات جيدة, القرب من المرافق الترفيهية, قرب الحي من مقر العمل",
11/3/2024 19:48,من 25-35,متزوج,طفلان,شمال,فيلا,ملك,أكثر من 200 متر مربع,أكثر من 3,زائدة عن الحاجة,مهم جدًا,"مراكز تجارية, حدائق",الشمال,هادئة,حي العقيق,أقل من 20 كم,الملقا,"من 1,000,000 - 1,500,000 ريال",أقساط,نعم,لا,,"ارتفاع الأسعار, الشراء عن طريق التقسيط تسبب بازمة مالية لي"
11/3/2024 20:00,أقل من 25,أعزب,لايوجد,وسط,فيلا,ملك,أكثر من 200 متر مربع,أكثر من 3,صغير جدًا,مهم جدًا,"مدارس, مراكز تجارية, أندية رياضية",الشمال,نشطة,وسط,أكثر من 30 كم,الملقا,"أكثر من 1,500,000 ريال",نقدًا,لا,نعم,"وجود خدمات جيدة, توفر بنية تحتية جيدة, قرب الحي من مقر العمل",
11/3/2024 20:16,أقل من 25,أعزب,لايوجد,جنوب,فيلا,ملك,أكثر من 200 متر مربع,أكثر من 3,مناسبة,مهم جدًا,"مدارس, مستشفيات, حدائق",الشمال,نشطة,حي الشفا,أقل من 20 كم,حي الشفا,"من 500,000 - 1,000,000 ريال",أقساط,لا,نعم,"السعر مناسب, المساحة مناسبة, وجود خدمات جيدة, قرب الحي من مقر العمل, يحتوي الحي على حدائق تلطف الجو",
11/3/2024 20:44,من 25-35,متزوج,3 أطفال,شمال,فيلا,ملك,أكثر من 200 متر مربع,أكثر من 3,مناسبة,مهم جدًا,مدارس,الشمال,هادئة,بنك الانماء حي البديعة ,أكثر من 30 كم,النرجس,"من 1,000,000 - 1,500,000 ريال",أقساط,نعم,نعم,"السعر مناسب, المساحة مناسبة, وجود خدمات جيدة, القرب من المرافق الترفيهية, الحي حديث, توفر بنية تحتية جيدة, الحي هادئ, يحتوي الحي على حدائق تلطف الجو",
11/3/2024 21:42,من 25-35,متزوج,طفل واحد,شمال,فيلا,ملك,أكثر من 200 متر مربع,أكثر من 3,زائدة عن الحاجة,مهم جدًا,"مدارس, مستشفيات, حدائق",الشمال,نشطة,النرجس,أكثر من 30 كم,الملقا,"أكثر من 1,500,000 ريال",نقدًا,لا,نعم,"السعر مناسب, المساحة مناسبة, وجود خدمات جيدة, القرب من المرافق الترفيهية, الحي حديث, الحي نشط, قرب الحي من مقر العمل, يحتوي الحي على حدائق تلطف الجو",
11/4/2024 17:29,من 46-55,متزوج,أكثر من 3,شرق,شقة,ايجار,من 150-200 متر مربع,3 غرف,زائدة عن الحاجة,غير مهم,حدائق,الوسط,نشطة,حي القيروان ,أقل من 30 كم,حي نمار,"من 500,000 - 1,000,000 ريال",أقساط,لا,لا,,حي قديم
11/12/2024 17:27,أقل من 25,أعزب,لايوجد,شرق,شقة,ملك,أقل من 100 متر مربع,غرفتان,مناسبة,متوسط الأهمية,مراكز تجارية,الشمال,نشطة,حطين ,أقل من 20 كم,الملقا,"أقل من 500,000 ريال",أقساط,لا,نعم,الحي نشط,
11/20/2024 11:28,من 36-45,متزوج,أكثر من 3,شمال,فيلا,ايجار,أكثر من 200 متر مربع,أكثر من 3,مناسبة,مهم جدًا,"مدارس, مراكز تجارية, مستشفيات",الشمال,نشطة,الملقا,أقل من 30 كم,النرجس,"من 1,000,000 - 1,500,000 ريال",نقدًا,لا,نعم,"المساحة مناسبة, القرب من المرافق الترفيهية, الحي حديث, الحي نشط, قرب الحي من مقر العمل",
11/20/2024 12:30,من 25-35,أعزب,لايوجد,شمال,استوديو,ايجار,من 100-150 متر مربع,غرفتان,مناسبة,متوسط الأهمية,"مراكز تجارية, أندية رياضية",الوسط,نشطة,الشمال,أقل من 30 كم,الملقا,"أقل من 500,000 ريال",أقساط,نعم,نعم,"وجود خدمات جيدة, القرب من المرافق الترفيهية, الحي حديث, الحي نشط, قرب الحي من مقر العمل",
