ID_of_neighborhood,Name_of_neighborhood,LON,LAT,Description,Schools ,Parks,Hospitals,Malls,Supermarket,Train stations,price_of_meter_Villas,price_of_meter_Apartment,Reviews
1,النرجس,46.6606749,24.87092231," يعتبر حي النرجس من أحياء شمال الرياض الجديدة التي تمتاز بالتنظيم الحديث واعتدال أسعار العقارات مقارنة بالأحياء القريبة منه وهو من الأحياء التابعة لبلدية الشمال، ومن أهم مزايا حي النرجس قربه من مطار الملك خالد الدولي حيث يقع المطار شرق الحي، كما يمتاز الحي بوفرة الاستراحات والمنتجعات.",11,6,4,2,10,0,10838.09111,4672.342093,
2,الملقا,46.59641087,24.79844144,"يعتبر حي الملقا من الأحياء الراقية بشمال العاصمة التابع لبلدية الشمال. حيث يتمتع بالحداثة والموقع الاستراتيجي مما يجعله مرغوب من قبل الباحثين عن عقارات بمدينة الرياض، أيضاً يمتاز بقربه من حي الدرعية الذي سوف يصبح من أهم الوجهات السياحية في العالم.",12,9,3,0,14,0,4699.257114,3906.526119,
3,الروضة,46.77235701,24.73847075,"يعتبر حي الروضة من الأحياء الشهيرة والقديمة التي تقع في شرق مدينة الرياض، ويعد من الأحياء التابعة لبلدية الروضة، وهو من الأحياء التي يوجد بها كثافة سكانية، ويميز الحي سهولة الدخول اليه و الخروج منه، وأيضاً يمتاز بتكامل الخدمات مثل: المدارس، والجوامع، واماكن الترفيه والتسوق، والخدمات الطبية.",19,10,6,0,10,0,5452.137363,3060.353331,
4,النسيم,46.84065363,24.74333416,"حي النسيم هو أحد الأحياء الواقعة في شرق مدينة الرياض والتابعة لبلدية النسيم، وتقدر مساحتها بأربع كيلومترات مربعة. ينقسم الحي إلى قسمين الشرقي و الغربي ويسكنه ما لا يقل عن 15 ألف نسمة. يقع مستشفى الحرس الوطني والحرس الوطني السعودي شرقيّ هذا الحي ومن الغرب تقع شرطة النسيم ومقبرة النسيم.",15,4,7,3,14,1,2172.723102,2650.164114,
5,نمار,46.68822716,24.60222817,"يعتبر حي نمار من الأحياء القديمة والشهيرة في غرب مدينة الرياض، وهو من الأحياء التابعة لبلدية نمار.
حيث يعد من الأحياء التي شهدت تطوراً وازدهاراً في السنوات الأخيرة، واشتهر حي نمار بوجود وادي نمار الذي يتمتع بمناظر رائعة وخلابة، والذي يتهاتف عليه الزوار بشكل يومي لممارسة مختلف الرياضات فيه كرياضة المشي ورياضة ركوب الدراجات وايضاً للجلوس والاستمتاع بمنظر البحيرة.
ويمتاز حي نمار بسهولة مخارجه ومداخله من الدائري الجنوبي ومن طريق ديراب ويتوفر فيه جميع الخدمات.",9,4,2,0,6,0,3087.832052,2461.780451,
6,السويدي,46.667295,24.592327,"حي السويدي هو أحد أحياء مدينة الرياض ويتبع إداريا لبلدية العريجاء، يقع في قلب الجزء الجنوب غربي لمدينة الرياض ويحده من الشمال حي ظهرة البديعة ومن الشرق حي سلطانة ومن الجنوب والغرب الطريق الدائري الغربي ويضم تحت مسمى حي السويدي أحياء شبرا والزهرة وسلطانه والدريهمية.",15,6,4,2,18,1,3274.100406,2803.628908,
7,العزيزية,46.76651,24.587589,"حي العزيزية في الرياض يُعد وجهة مميزة للسكن والاستثمار بفضل موقعه الاستراتيجي وتوفر الخدمات والمرافق المتنوعة. يتميز بالاستقرار السكني والاستثماري، ويضم وحدات سكنية متنوعة (شقق، فلل، دوبلكسات) تناسب مختلف الاحتياجات. كما يضم مرافق تعليمية وصحية، مما يجعله مناسبًا للعائلات. من الناحية الاستثمارية، يتمتع بسوق عقاري نشط وعقارات سكنية وتجارية متنوعة، بالإضافة إلى مرافق تجارية وأسواق تلبي احتياجات السكان والمستثمرين، مما يجعله وجهة مثالية للبحث عن العقارات.",17,11,4,3,18,1,2957.65337,2390.546457,
8,الشفا,46.696385,24.566243,يمثل حي الشفا في الرياض واحدًا من أهم أحياء جنوب الرياض الحيوية نظرًا لكثرة وتعدد منافذه. يظهر ذلك واضحًا في تعداده السكاني المرتفع وزيادة تهافت فئات المجتمع المختلفة على السكن فيه. يتمتع الحي بجاذبية خاصة للمستثمرين العقاريين الساعين إلى تحقيق عائدات اقتصادية من تملك عقار الرياض فيه.,18,10,12,2,13,0,3289.905872,2069.926276,
9,العليا,46.691598,24.689895,"يشكّل حي العليا المركز التجاري الفاخر لمدينة الرياض، وهو يضم ناطحات سحاب فاخرة، مثل مبنى مركز المملكة المصنوع من الفولاذ والزجاج والذي يتميز بإطلالات على المدينة من الجسر المعلّق، فضلاً عن برج الفيصلية الذي يشبه مسلّة. وتضم عدة مراكز تسوّق حديثة ومكيّفة متاجر أزياء فاخرة عالمية، فضلاً عن أماكن لعب مخصصة للأطفال وسلاسل مطاعم. وتنتشر مطاعم الشاورما البسيطة والمقاهي المريحة التي تقدّم الحلويات إلى جانب مطاعم الفنادق الفاخرة.",16,7,11,5,16,2,5804.915674,5505.232424,
10,الملز,46.733147,24.659647,يشتهر حيّ الملز السكني بمتنزّه الملك عبدالله الفسيح الذي يجذب الزوّار ليلاً لمشاهدة عروض يومية للنوافير المركزية الراقصة على أنغام الموسيقى وأضواء الليزر. ويضمّ المتنزّه حدائق منسّقة ومسارات معبّدة للمشي وأكشاكًا لبيع القهوة والبوظة والوجبات الخفيفة. هذا وتأوي حديقة حيوانات الرياض طيور الفلامينغو والنمور وتقدم جولات في قطارات صغيرة. أما ملعب الأمير فيصل بن فهد فيستضيف مباريات كرة قدم دولية ومحلية من الدرجة الأولى.,12,10,6,3,10,3,4586.088025,3787.056904,
