الاسم,العنوان,عنوان البحث,التصنيف,الحيّ,خط_العرض,خط_الطول
مدارس الأجيال الأهلية للبنات,زيد الخير، الروضة، الرياض 13211، المملكة العربية السعودية,  الروضة  ف  الرياض  ف  السعودية,مدرسة,الروضة ,24.8588184,46.794446099999995
مدرسة نافذة العلوم العالمية,2246 حمزة بن محمد، الروضة، الرياض 13213، المملكة العربية السعودية,  الروضة  ف  الرياض  ف  السعودية,مدرسة,الروضة ,24.8588184,46.794446099999995
مدارس خلية العلم الأهلية,7995-8011 دير البلح، الروضة، الرياض 13213، المملكة العربية السعودية,  الروضة  ف  الرياض  ف  السعودية,مدرسة,الروضة ,24.8588184,46.794446099999995
مدارس الزهراء الاهلية للبنات,8115 شارع ابن شاهين، الروضة، الرياض 13213، المملكة العربية السعودية,  الروضة  ف  الرياض  ف  السعودية,مدرسة,الروضة ,24.8588184,46.794446099999995
مدارس الرواد ـ الأندلس,وادي زمرتين، الاندلس، الرياض 13212، المملكة العربية السعودية,  الروضة  ف  الرياض  ف  السعودية,مدرسة,الروضة ,24.8588184,46.794446099999995
المتوسطة الثانية للبنات الروضة - الرياض,PQJ9+G9F، ابن حامد، الروضة، الرياض 13211، المملكة العربية السعودية,  الروضة  ف  الرياض  ف  السعودية,مدرسة,الروضة ,24.8588184,46.794446099999995
مدارس الإمام الشافعي الأهلية,PQPJ+H5V، الروضة، الرياض 13211، المملكة العربية السعودية,  الروضة  ف  الرياض  ف  السعودية,مدرسة,الروضة ,24.8588184,46.794446099999995
مدارس المتقدمة الأهلية - مجمع الابتكارية1,حي، السوادي، الملك فيصل، الرياض 13215، المملكة العربية السعودية,  الروضة  ف  الرياض  ف  السعودية,مدرسة,الروضة ,24.8588184,46.794446099999995
مدارس تاج الرياض العالمية,2946 جهينة، السليمانية، الرياض 12232، المملكة العربية السعودية,  الروضة  ف  الرياض  ف  السعودية,مدرسة,الروضة ,24.8588184,46.794446099999995
مدارس الفارس العالمية,"Abi Saad Ibn Muhammad, At Taawun، التعاون، الرياض 12476، المملكة العربية السعودية",  الروضة  ف  الرياض  ف  السعودية,مدرسة,الروضة ,24.8053802,46.7977523
