الاسم,التقييم,عدد التقييمات,العنوان,التصنيف,الحي,خط_العرض,خط_الطول
أسواق التميمي,3.9,852,طريق ابي بكر الصديق، النرجس، الرياض 13333، المملكة العربية السعودية,سوبرماركت,النرجس,24.9051179,46.6945147
أسواق ومخابز الراموز( النرجس ),4,275,شارع 417، النرجس، الرياض 13328، المملكة العربية السعودية,سوبرماركت,النرجس,24.9051179,46.6945147
بنده,3.7,"1,769",النرجس، الرياض 13343، المملكة العربية السعودية,سوبرماركت,النرجس,24.9051179,46.6945147
اسواق جوهرة النرجس,4.3,87,4987، النرجس، الرياض 13324 7822، الرياض 13324، المملكة العربية السعودية,سوبرماركت,النرجس,24.9051179,46.6945147
أسواق الشوذق,3.9,291,الفضائل، النرجس، الرياض 13333، المملكة العربية السعودية,سوبرماركت,النرجس,24.9051179,46.6945147
اسواق تبادر المركزية,3.7,140,3549 طريق أنس ابن مالك، حي النرجس، الرياض 13323 8680، المملكة العربية السعودية,سوبرماركت,النرجس,24.9051179,46.6945147
أسواق ومخابز زاد حلو,4.3,78,2979 طريق الأمير فيصل بن بندر بن عبدالعزيز، حي النرجس، RANB7864، 7864، الرياض 13328، المملكة العربية السعودية,سوبرماركت,النرجس,24.9051179,46.6945147
تموينات جوهرة الياسمين للمواد الغذائية,3.8,59,طريق عثمان بن عفان، النرجس، الرياض 13328، المملكة العربية السعودية,سوبرماركت,النرجس,24.9051179,46.6945147
اسواق ارزاق المنار للمواد الغذائية,3,21,حي، طريق عثمان بن عفان، النرجس، الرياض 13336، المملكة العربية السعودية,سوبرماركت,النرجس,24.9051179,46.6945147
تموينات أرجوان الوسطى,3.4,49,RAJB7882، 7882 الديوان، 4969، حي النرجس، الرياض 13333،، الرياض 14367، المملكة العربية السعودية,سوبرماركت,النرجس,24.9051179,46.6945147
بوينت,4,118,حي، 2686 عسفان، النرجس، RANA2686، الرياض 13328، المملكة العربية السعودية,سوبرماركت,النرجس,24.9187715,46.6929762
أسواق أنوار المدن المركزية,3.9,18,VJ2X+JQG، النرجس، الرياض 13333، المملكة العربية السعودية,سوبرماركت,النرجس,24.9187715,46.6929762
تموينات علي أل منصور للتجارة,3,54,6305 طريق ابي بكر الصديق، حي النرجس، الرياض 13346 2778، الرياض 11243، المملكة العربية السعودية,سوبرماركت,النرجس,24.9187715,46.6929762
تموينات خليج النرجس,3.3,11,طريق أنس ابن مالك، النرجس، الرياض 13328، المملكة العربية السعودية,سوبرماركت,النرجس,24.9187715,46.6929762
اسواق ارزاق القصيم - الياسمين,٤٫١,"1,365",RMG5+73، طريق أنس ابن مالك، الياسمين، الرياض 12823، المملكة العربية السعودية,سوبرماركت,النرجس,24.9055654,46.6945147
ثمار العقيلات,٣٫٦,"7,724",الامام سعود بن فيصل، الصحافة، الرياض 33133، المملكة العربية السعودية,سوبرماركت,النرجس,24.9219221,46.7216708
الجزيرة اكسبرس,٤٫٠,"1,440",RJCJ+P4، الياسمين، الرياض 13325، المملكة العربية السعودية,سوبرماركت,النرجس,24.9219221,46.7216708
خير الفيوم للمنتجات المصرية فرع الملز,4.5,30,نفيع بن سالم، الملز، الرياض 12842، المملكة العربية السعودية,سوبرماركت,الملز,24.692919,46.7554103
تموينات حمامة صالح العتيبي,3.9,124,MPHR+JPV، شارع مصعب ابن عمير، الملز، الرياض 12832، المملكة العربية السعودية,سوبرماركت,الملز,24.692919,46.7554103
Farsa Super Market,5,3,7731 زيد بن الخطاب، الملز، الرياض 12841، المملكة العربية السعودية,سوبرماركت,الملز,24.692919,46.7554103
تموينات الغذائية,4.5,13,2625 شارع عمر بن عبد العزيز، حي الملز، الملز، الرياض 12831، المملكة العربية السعودية,سوبرماركت,الملز,24.8208721,46.7911532
تموينات خالد بن عبدالرحمن عايد الشمري,4.2,20,MP7F+HJ6، شارع الفرزدق، حي الملز، الملز، الرياض 12629، المملكة العربية السعودية,سوبرماركت,الملز,24.8208721,46.7911532
سبينس,3.9,"1,009",طريق الملك عبدالله، النزهة، الرياض 12472، المملكة العربية السعودية,سوبرماركت,الملز,24.8208721,46.7911532
تموينات,3.7,6,MP4P+R73، طريق الأمير عبدالمحسن بن عبدالعزيز، حي الملز، الملز، الرياض 12841، المملكة العربية السعودية,سوبرماركت,الملز,24.8208721,46.7911532
شيكولاته مخفضه,4.6,11,6749 شارع الأمين عبدالله العلي النعيم، الملز، الرياض 12836 3356، المملكة العربية السعودية,سوبرماركت,الملز,24.8208721,46.7911532
