الاسم,التقييم,عدد التقييمات,العنوان,التصنيف,الحي,خط_العرض,خط_الطول
العنود بارك مول,4.1,"4,560",طريق الحائر، العزيزية، الرياض 14515، المملكة العربية السعودية,مركز تسوق,العزيزية,24.79411,46.7985646
الباسم,4.2,"16,503",3993 الطريق الدائري الجنوبي الفرعي، العزيزية، الرياض 14512، المملكة العربية السعودية,مركز تسوق,العزيزية,24.79411,46.7985646
سوق الجملة العزيزية,3.9,"1,137",1234، العزيزية، 7432، الرياض 14512، المملكة العربية السعودية,تاجر فواكه وخضروات بالجملة,العزيزية,24.79411,46.7985646
سوق الخضار والفواكه المركزي العزيزية الرياض,4,684,Abu saad al wazir، العزيزية، الرياض 14512، المملكة العربية السعودية,سوق جملة,العزيزية,24.79411,46.7985646
اتماركو العزيزية,4.5,4,العزيزية، 2479 7646 الطريق الدائري الجنوبي الفرعي،، الرياض 14512، المملكة العربية السعودية,مركز تسوق,العزيزية,24.596209377319028,46.74224233715573
هايبر نستو,4,"7,454","Gardenia Mall، الطريق الدائري الجنوبي الفرعي, حي العزيزية، الرياض 14512، المملكة العربية السعودية",سوق ضخمة,العزيزية,24.6374978,46.796839999999996
سوق العزيزية المركزي للجملة,3.9,"3,611",العزيزية، الرياض 14512، المملكة العربية السعودية,تاجر فواكه وخضروات بالجملة,العزيزية,24.6374978,46.796839999999996
سوق العزيزية المركزي,4,543,الحائر، الرياض 11993، المملكة العربية السعودية,سوق الخضروات بالجملة,العزيزية,24.791884099999997,47.2232184
اسواق مركزيه,3.7,10,7563 سفيان بن عوف، 7563، العزيزية، 3069 سفيان بن عوف،، الرياض 14513، المملكة العربية السعودية,متجر بقالة,العزيزية,24.791884099999997,47.2232184
تموينات عروض الخير,3.9,34,الشباب، العزيزية، الرياض 00966، المملكة العربية السعودية,متجر,العزيزية,24.791884099999997,47.2232184
محامص أولاد رجب منتجات مصرية,3.7,47,حي، طريق العزيزية الفرعي، الفرعي، بجوار مطعم ديرتي، الرياض المملكة العربية السعودية,متجر,العزيزية,24.791884099999997,47.2232184
تموينات شافي راشد,3.7,6,"7835، العزيزية، 3253, Saudi Arabia, الرياض 14512، المملكة العربية السعودية",متجر بقالة,العزيزية,24.791884099999997,47.2232184
مطاعم حديقة لبنان,٣٫٦,"2,438",JQ26+RQM، النماص، العزيزية، الرياض 14511، المملكة العربية السعودية,مطعم,العزيزية,24.697207799999997,46.902293
شركة مون الهزاز,٣٫٧,824,7133-7319 محمد رشيد رضا، العزيزية، الرياض 14515، المملكة العربية السعودية,مركز تسوق,العزيزية,24.794752199999998,46.785201099999995
الياسمين مول,٣٫٨,"3,728",الاسكان، الرياض 14317، المملكة العربية السعودية,مركز تسوق,العزيزية,24.857697599999998,46.846543399999995
مركز جود التجاري,٤٫٠,37,"2326 Al Hair Rd, العزيزية، 7673, الرياض 14515، المملكة العربية السعودية",مركز تسوق,العزيزية,24.857697599999998,46.846543399999995
واجهة روشن - منطقة التسوق,٤٫٥,"31,450",3718، 8793 - King Khalid International Airport - Unit No.1 Riyadh 13413 3718، المملكة العربية السعودية,مركز تسوق,العزيزية,24.857697599999998,46.846543399999995
الرمال سنتر,٣٫٩,"12,098",الطريق الدائري الشرقي، الفاروق، الرياض 12863، المملكة العربية السعودية,مركز تسوق,العزيزية,24.857697599999998,46.846543399999995
الشامل,٣٫٩,"6,037",الطريق الدائري الجنوبي الفرعي، المنصورة، الرياض 12684، المملكة العربية السعودية,مركز تسوق,العزيزية,24.857697599999998,46.846543399999995
اسواق الراجحي,٣٫٩,"1,410",6593 ال نوح، منفوحة، الرياض 12685، المملكة العربية السعودية,مركز تسوق,العزيزية,24.8443757,46.8049663
موقف النقل العام -القطار مول,٣٫٦,74,HPXW+2F2، العزيزية، الرياض 14512، المملكة العربية السعودية,مركز تسوق,العزيزية,24.8443757,46.8049663
ذا بوليفارد,٤٫٢,"13,959",QJ27+69، 5186 طريق الأمير محمد بن سعد بن عبدالعزيز، حطين، حي 7584، الرياض 13513، المملكة العربية السعودية,مركز تسوق,العزيزية,24.8443757,46.8049663
ماكس,٣٫٩,"2,221","Al Azizia Road, Khalid Rafie Street, الرياض المملكة العربية السعودية",متجر ملابس,العزيزية,24.8443757,46.8049663
اسطورة المواقع,٣٫٧,42,العنود بارك، العزيزية، الرياض 11461، المملكة العربية السعودية,مركز تسوق,العزيزية,24.8443757,46.8049663
الوافين مول,٤٫٠,"2,097",البلقاء، المونسية، الرياض 13253، المملكة العربية السعودية,مركز تسوق,العزيزية,24.8443757,46.8049663
أسواق وثلاجة وادي قريش,٤٫٠,"2,308",7102 محمد رشيد رضا، العزيزية، الرياض 14515، المملكة العربية السعودية,مركز تسوق,العزيزية,24.8443757,46.8049663
على كيفك,٤٫١,"1,145",شارع الشباب، حي العزيزية، الرياض 14514، المملكة العربية السعودية,مركز تسوق,العزيزية,24.8443757,46.8049663
تسوق العائله,٤٫٤,73,4140 محمد رشيد رضا، حي الدار البيضاء، RMDA7284، 7284، الرياض 14519، المملكة العربية السعودية,مركز تسوق,العزيزية,24.736230900000002,46.8020515
فايف تن,٤٫١,"1,761",8431 Fatih Makkah Rd، الدار البيضاء، 2683، الرياض المملكة العربية السعودية,مركز تسوق,العزيزية,24.736230900000002,46.8020515
اسرار الباسم,٤٫٠,205,العزيزية العام، الدار البيضاء، الرياض 14517، المملكة العربية السعودية,مركز تسوق,العزيزية,24.736230900000002,46.8020515
أسواق المجد,٣٫٨,"9,933",6838 الطريق الدائري الشرقي الفرعي، الربوة، الرياض 12839، المملكة العربية السعودية,مركز تسوق,العزيزية,24.736230900000002,46.8020515
لمعة اللؤلؤة للذهب والمجوهرات - فرع العزيزية,٣٫٦,"1,438",طريق العزيزية الفرعي، العزيزية، الرياض 11411، المملكة العربية السعودية,متجر مجوهرات,العزيزية,24.736230900000002,46.8020515
عالم التسوق,٣٫٨,"4,608",الطريق الدائري الشرقي الفرعي، الريان، الرياض 14213، المملكة العربية السعودية,مركز تسوق,العزيزية,24.736230900000002,46.8020515
العقارية الثالثة,٣٫٧,"4,835",شارع العليا، العليا، الرياض 12244، المملكة العربية السعودية,مركز تسوق,العزيزية,24.736230900000002,46.8020515
سولتير مول,٤٫٥,342,الصحافة، الرياض 13315، المملكة العربية السعودية,مركز تسوق,العزيزية,26.481482300000003,50.8095633
ليسن فالي,٤٫٦,"7,480",طريق الملك خالد الفرعي، أم الحمام الغربي، الرياض 12329، المملكة العربية السعودية,مجمع الأنشطة التجارية,العزيزية,26.481482300000003,50.8095633
العروبة سنتر,٣٫٨,"3,971",حي، الامام مسلم، بدر، الرياض 14725، المملكة العربية السعودية,مركز تسوق,العزيزية,26.481482300000003,50.8095633
مجمع العضيبي التجاري,٥٫٠,5,HQPH+CV7، العزيزية، الرياض 14513، المملكة العربية السعودية,مركز تسوق,العزيزية,26.481482300000003,50.8095633
ذا كيوب,٤٫٤,162,"THE CUBE CENTER, 4112 طريق العروبة، الرحمانية، RIYADH SAUDI ARABIA, DISTRICT 12341، المملكة العربية السعودية",مركز تسوق,العزيزية,26.481482300000003,50.8095633
محمصة الحائك,٤٫١,35,2743 طريق الحائر، العزيزية، الرياض 14515 6972، المملكة العربية السعودية,مركز تسوق,العزيزية,26.481482300000003,50.8095633
الهرم بلازا,٤٫٠,"3,159",طريق المدينة المنورة، العريجاء الوسطى، الرياض 12768، المملكة العربية السعودية,مركز تسوق,العزيزية,26.481482300000003,50.8095633
خرابيط,٤٫٧,"2,108","الطريق الدائري الشرقي، الروابي، exit 15, الرياض 14215، المملكة العربية السعودية",مركز تسوق,العزيزية,26.481482300000003,50.8095633
مركز المعيقلية التجاري,٤٫٤,"11,506",الامام تركي بن عبدالله بن محمد، الديرة، الرياض 12634، المملكة العربية السعودية,مركز تسوق,العزيزية,26.481482300000003,50.8095633
